Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  00:15:00,281779.4080924739,281779.4080924739,0.0,0.0,666320.8113491086,0.0 
 01/01  00:30:00,281779.4080924739,281779.4080924739,0.0,0.0,689401.1192924593,0.0 
 01/01  00:45:00,281779.4080924739,281779.4080924739,0.0,0.0,711490.5307196698,0.0 
 01/01  01:00:00,281779.4080924739,281779.4080924739,0.0,0.0,732814.8887591293,0.0 
 01/01  01:15:00,281779.4080924739,281779.4080924739,0.0,0.0,741886.3249768327,0.0 
 01/01  01:30:00,281779.4080924739,281779.4080924739,0.0,0.0,750497.0919014224,0.0 
 01/01  01:45:00,281779.4080924739,281779.4080924739,0.0,0.0,758780.0748557921,0.0 
 01/01  02:00:00,281779.4080924739,281779.4080924739,0.0,0.0,766491.5565003604,0.0 
 01/01  02:15:00,281779.4080924739,281779.4080924739,0.0,0.0,774215.1915822486,0.0 
 01/01  02:30:00,281779.4080924739,281779.4080924739,0.0,0.0,782015.866907484,0.0 
 01/01  02:45:00,281779.4080924739,281779.4080924739,0.0,0.0,789379.0132513702,0.0 
 01/01  03:00:00,281779.4080924739,281779.4080924739,0.0,0.0,796302.376233814,0.0 
 01/01  03:15:00,281779.4080924739,281779.4080924739,0.0,0.0,803837.816140796,0.0 
 01/01  03:30:00,281779.4080924739,281779.4080924739,0.0,0.0,810852.7850499279,0.0 
 01/01  03:45:00,281779.4080924739,281779.4080924739,0.0,0.0,817311.7540937222,0.0 
 01/01  04:00:00,281779.4080924739,281779.4080924739,0.0,0.0,823176.931492507,0.0 
 01/01  04:15:00,281779.4080924739,281779.4080924739,0.0,0.0,829317.2515596099,0.0 
 01/01  04:30:00,281779.4080924739,281779.4080924739,0.0,0.0,835023.2043647803,0.0 
 01/01  04:45:00,281779.4080924739,281779.4080924739,0.0,0.0,840175.6509636489,0.0 
 01/01  05:00:00,281779.4080924739,281779.4080924739,0.0,0.0,844985.5242462629,0.0 
 01/01  05:15:00,281779.4080924739,281779.4080924739,0.0,0.0,851130.0314567612,0.0 
 01/01  05:30:00,281779.4080924739,281779.4080924739,0.0,0.0,856935.6086743623,0.0 
 01/01  05:45:00,281779.4080924739,281779.4080924739,0.0,0.0,862211.1031729607,0.0 
 01/01  06:00:00,281779.4080924739,281779.4080924739,0.0,0.0,867047.3225402732,0.0 
 01/01  06:15:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,861176.5646899853,0.0 
 01/01  06:30:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,862728.2847623089,0.0 
 01/01  06:45:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,864330.7679592318,0.0 
 01/01  07:00:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,865975.3266397254,0.0 
 01/01  07:15:00,778281.750928512,385762.050928512,392519.7,0.0,623512.8964270086,0.0 
 01/01  07:30:00,778281.750928512,385762.050928512,392519.7,0.0,614846.4680684321,0.0 
 01/01  07:45:00,778281.750928512,385762.050928512,392519.7,0.0,608764.3380172473,0.0 
 01/01  08:00:00,778281.750928512,385762.050928512,392519.7,0.0,603251.9072017432,0.0 
 01/01  08:15:00,882262.674,489742.97399999995,392519.7,0.0,515086.96441843317,0.0 
 01/01  08:30:00,882262.674,489742.97399999995,392519.7,0.0,510628.9303051387,0.0 
 01/01  08:45:00,882262.674,489742.97399999995,392519.7,0.0,506725.53332817056,0.0 
 01/01  09:00:00,882262.674,489742.97399999995,392519.7,0.0,503086.67919145486,0.0 
 01/01  09:15:00,778281.750928512,385762.050928512,392519.7,0.0,586672.4735857035,0.0 
 01/01  09:30:00,778281.750928512,385762.050928512,392519.7,0.0,593980.6057930621,0.0 
 01/01  09:45:00,425014.020928512,385762.050928512,39251.97,0.0,651350.3618450797,0.0 
 01/01  10:00:00,425014.020928512,385762.050928512,39251.97,0.0,558836.0403566699,0.0 
 01/01  10:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,552097.5570217493,0.0 
