Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,653026,-,-,-,59.89,10.74,1,2,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,
2018,1,1,0,30,0,0,0,N/A
2018,1,1,1,30,0,0,0,N/A
2018,1,1,2,30,0,0,0,N/A
2018,1,1,3,30,0,0,0,N/A
2018,1,1,4,30,0,0,0,N/A
2018,1,1,5,30,0,0,0,N/A
2018,1,1,6,30,0,0,0,N/A
2018,1,1,7,30,0,0,0,N/A
2018,1,1,8,30,0,0,0,N/A
2018,1,1,9,30,0,0,0,N/A
2018,1,1,10,30,20,0,20,N/A
2018,1,1,11,30,31,0,31,N/A
2018,1,1,12,30,34,0,34,N/A
2018,1,1,13,30,28,0,28,N/A
2018,1,1,14,30,15,0,15,N/A
2018,1,1,15,30,0,0,0,N/A
2018,1,1,16,30,0,0,0,N/A
2018,1,1,17,30,0,0,0,N/A
2018,1,1,18,30,0,0,0,N/A
2018,1,1,19,30,0,0,0,N/A
2018,1,1,20,30,0,0,0,N/A
2018,1,1,21,30,0,0,0,N/A
2018,1,1,22,30,0,0,0,N/A
2018,1,1,23,30,0,0,0,N/A
2018,1,2,0,30,0,0,0,N/A
2018,1,2,1,30,0,0,0,N/A
2018,1,2,2,30,0,0,0,N/A
2018,1,2,3,30,0,0,0,N/A
2018,1,2,4,30,0,0,0,N/A
2018,1,2,5,30,0,0,0,N/A
2018,1,2,6,30,0,0,0,N/A
2018,1,2,7,30,0,0,0,N/A
2018,1,2,8,30,0,0,0,N/A
2018,1,2,9,30,0,0,0,N/A
2018,1,2,10,30,21,0,21,N/A
2018,1,2,11,30,29,540,92,N/A
2018,1,2,12,30,30,566,103,N/A
2018,1,2,13,30,27,520,84,N/A
2018,1,2,14,30,15,0,15,N/A
2018,1,2,15,30,0,0,0,N/A
2018,1,2,16,30,0,0,0,N/A
2018,1,2,17,30,0,0,0,N/A
2018,1,2,18,30,0,0,0,N/A
2018,1,2,19,30,0,0,0,N/A
2018,1,2,20,30,0,0,0,N/A
2018,1,2,21,30,0,0,0,N/A
2018,1,2,22,30,0,0,0,N/A
2018,1,2,23,30,0,0,0,N/A
2018,1,3,0,30,0,0,0,N/A
2018,1,3,1,30,0,0,0,N/A
2018,1,3,2,30,0,0,0,N/A
2018,1,3,3,30,0,0,0,N/A
2018,1,3,4,30,0,0,0,N/A
2018,1,3,5,30,0,0,0,N/A
2018,1,3,6,30,0,0,0,N/A
2018,1,3,7,30,0,0,0,N/A
2018,1,3,8,30,0,0,0,N/A
2018,1,3,9,30,0,0,0,N/A
2018,1,3,10,30,20,0,20,N/A
2018,1,3,11,30,32,0,32,N/A
2018,1,3,12,30,35,0,35,N/A
2018,1,3,13,30,29,0,29,N/A
2018,1,3,14,30,16,0,16,N/A
2018,1,3,15,30,0,0,0,N/A
2018,1,3,16,30,0,0,0,N/A
2018,1,3,17,30,0,0,0,N/A
2018,1,3,18,30,0,0,0,N/A
2018,1,3,19,30,0,0,0,N/A
2018,1,3,20,30,0,0,0,N/A
2018,1,3,21,30,0,0,0,N/A
2018,1,3,22,30,0,0,0,N/A
2018,1,3,23,30,0,0,0,N/A
2018,1,4,0,30,0,0,0,N/A
2018,1,4,1,30,0,0,0,N/A
2018,1,4,2,30,0,0,0,N/A
2018,1,4,3,30,0,0,0,N/A
2018,1,4,4,30,0,0,0,N/A
2018,1,4,5,30,0,0,0,N/A
2018,1,4,6,30,0,0,0,N/A
2018,1,4,7,30,0,0,0,N/A
2018,1,4,8,30,0,0,0,N/A
2018,1,4,9,30,0,0,0,N/A
2018,1,4,10,30,20,0,20,N/A
2018,1,4,11,30,32,0,32,N/A
2018,1,4,12,30,36,0,36,N/A
2018,1,4,13,30,30,0,30,N/A
2018,1,4,14,30,16,0,16,N/A
2018,1,4,15,30,0,0,0,N/A
2018,1,4,16,30,0,0,0,N/A
2018,1,4,17,30,0,0,0,N/A
2018,1,4,18,30,0,0,0,N/A
2018,1,4,19,30,0,0,0,N/A
2018,1,4,20,30,0,0,0,N/A
2018,1,4,21,30,0,0,0,N/A
2018,1,4,22,30,0,0,0,N/A
2018,1,4,23,30,0,0,0,N/A
2018,1,5,0,30,0,0,0,N/A
2018,1,5,1,30,0,0,0,N/A
2018,1,5,2,30,0,0,0,N/A
2018,1,5,3,30,0,0,0,N/A
2018,1,5,4,30,0,0,0,N/A
2018,1,5,5,30,0,0,0,N/A
2018,1,5,6,30,0,0,0,N/A
2018,1,5,7,30,0,0,0,N/A
2018,1,5,8,30,0,0,0,N/A
2018,1,5,9,30,0,0,0,N/A
2018,1,5,10,30,22,0,22,N/A
2018,1,5,11,30,39,0,39,N/A
2018,1,5,12,30,44,0,44,N/A
2018,1,5,13,30,31,0,31,N/A
2018,1,5,14,30,17,0,17,N/A
2018,1,5,15,30,0,0,0,N/A
2018,1,5,16,30,0,0,0,N/A
2018,1,5,17,30,0,0,0,N/A
2018,1,5,18,30,0,0,0,N/A
2018,1,5,19,30,0,0,0,N/A
2018,1,5,20,30,0,0,0,N/A
2018,1,5,21,30,0,0,0,N/A
2018,1,5,22,30,0,0,0,N/A
2018,1,5,23,30,0,0,0,N/A
2018,1,6,0,30,0,0,0,N/A
2018,1,6,1,30,0,0,0,N/A
2018,1,6,2,30,0,0,0,N/A
2018,1,6,3,30,0,0,0,N/A
2018,1,6,4,30,0,0,0,N/A
2018,1,6,5,30,0,0,0,N/A
2018,1,6,6,30,0,0,0,N/A
2018,1,6,7,30,0,0,0,N/A
2018,1,6,8,30,0,0,0,N/A
2018,1,6,9,30,0,0,0,N/A
2018,1,6,10,30,24,0,24,N/A
2018,1,6,11,30,41,0,41,N/A
2018,1,6,12,30,33,596,115,N/A
2018,1,6,13,30,31,552,95,N/A
2018,1,6,14,30,19,0,19,N/A
2018,1,6,15,30,0,0,0,N/A
2018,1,6,16,30,0,0,0,N/A
2018,1,6,17,30,0,0,0,N/A
2018,1,6,18,30,0,0,0,N/A
2018,1,6,19,30,0,0,0,N/A
2018,1,6,20,30,0,0,0,N/A
2018,1,6,21,30,0,0,0,N/A
2018,1,6,22,30,0,0,0,N/A
2018,1,6,23,30,0,0,0,N/A
2018,1,7,0,30,0,0,0,N/A
2018,1,7,1,30,0,0,0,N/A
2018,1,7,2,30,0,0,0,N/A
2018,1,7,3,30,0,0,0,N/A
2018,1,7,4,30,0,0,0,N/A
