Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  00:15:00,281779.4080924739,281779.4080924739,0.0,0.0,746303.9910389824,0.0 
 01/01  00:30:00,281779.4080924739,281779.4080924739,0.0,0.0,748524.086928545,0.0 
 01/01  00:45:00,281779.4080924739,281779.4080924739,0.0,0.0,750105.573094133,0.0 
 01/01  01:00:00,281779.4080924739,281779.4080924739,0.0,0.0,750862.3677239711,0.0 
 01/01  01:15:00,281779.4080924739,281779.4080924739,0.0,0.0,760303.8543629197,0.0 
 01/01  01:30:00,281779.4080924739,281779.4080924739,0.0,0.0,769683.0882723031,0.0 
 01/01  01:45:00,281779.4080924739,281779.4080924739,0.0,0.0,778700.6167044768,0.0 
 01/01  02:00:00,281779.4080924739,281779.4080924739,0.0,0.0,787026.593373209,0.0 
 01/01  02:15:00,281779.4080924739,281779.4080924739,0.0,0.0,794771.2262408304,0.0 
 01/01  02:30:00,281779.4080924739,281779.4080924739,0.0,0.0,802168.7959025377,0.0 
 01/01  02:45:00,281779.4080924739,281779.4080924739,0.0,0.0,808905.8419126372,0.0 
 01/01  03:00:00,281779.4080924739,281779.4080924739,0.0,0.0,814951.5607261399,0.0 
 01/01  03:15:00,281779.4080924739,281779.4080924739,0.0,0.0,820975.030348612,0.0 
 01/01  03:30:00,281779.4080924739,281779.4080924739,0.0,0.0,826255.250989576,0.0 
 01/01  03:45:00,281779.4080924739,281779.4080924739,0.0,0.0,830855.8258017567,0.0 
 01/01  04:00:00,281779.4080924739,281779.4080924739,0.0,0.0,834824.8206515621,0.0 
 01/01  04:15:00,281779.4080924739,281779.4080924739,0.0,0.0,844970.285429942,0.0 
 01/01  04:30:00,281779.4080924739,281779.4080924739,0.0,0.0,854824.0853007274,0.0 
 01/01  04:45:00,281779.4080924739,281779.4080924739,0.0,0.0,864455.0347924244,0.0 
 01/01  05:00:00,281779.4080924739,281779.4080924739,0.0,0.0,873861.9935353045,0.0 
 01/01  05:15:00,281779.4080924739,281779.4080924739,0.0,0.0,875223.5489105552,0.0 
 01/01  05:30:00,281779.4080924739,281779.4080924739,0.0,0.0,876211.2098308499,0.0 
 01/01  05:45:00,281779.4080924739,281779.4080924739,0.0,0.0,876463.1666805975,0.0 
 01/01  06:00:00,281779.4080924739,281779.4080924739,0.0,0.0,876539.4110269626,0.0 
 01/01  06:15:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,877044.1610868119,0.0 
 01/01  06:30:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,884848.418086661,0.0 
 01/01  06:45:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,892703.0030306282,0.0 
 01/01  07:00:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,900612.9707162317,0.0 
 01/01  07:15:00,778281.750928512,385762.050928512,392519.7,0.0,665965.1916381936,0.0 
 01/01  07:30:00,778281.750928512,385762.050928512,392519.7,0.0,665741.7962220348,0.0 
 01/01  07:45:00,778281.750928512,385762.050928512,392519.7,0.0,668391.4820761316,0.0 
 01/01  08:00:00,778281.750928512,385762.050928512,392519.7,0.0,671903.0376631154,0.0 
 01/01  08:15:00,882262.674,489742.97399999995,392519.7,0.0,583100.2038802065,0.0 
 01/01  08:30:00,882262.674,489742.97399999995,392519.7,0.0,578710.1621822048,0.0 
 01/01  08:45:00,882262.674,489742.97399999995,392519.7,0.0,574969.8941698177,0.0 
 01/01  09:00:00,882262.674,489742.97399999995,392519.7,0.0,571725.0552626597,0.0 
 01/01  09:15:00,778281.750928512,385762.050928512,392519.7,0.0,665556.0766195487,0.0 
 01/01  09:30:00,778281.750928512,385762.050928512,392519.7,0.0,713877.8194197419,0.0 
 01/01  09:45:00,425014.020928512,385762.050928512,39251.97,0.0,783441.0357933327,0.0 
 01/01  10:00:00,425014.020928512,385762.050928512,39251.97,0.0,694167.7691131163,0.0 
 01/01  10:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,686468.3331584353,0.0 
 01/01  10:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,591182.3981181381,0.0 
 01/01  10:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,472938.775757493,0.0 
 01/01  11:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,460488.58678597086,0.0 
 01/01  11:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,443849.57858135618,0.0 
 01/01  11:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,434655.61921086706,0.0 
 01/01  11:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,439539.1269473598,0.0 
 01/01  12:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,440834.82526241967,0.0 
 01/01  12:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,442998.68520320989,0.0 
 01/01  12:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,443023.99333297277,0.0 
 01/01  12:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,432755.2051808982,0.0 
 01/01  13:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,423165.7175819129,0.0 
 01/01  13:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,418722.99111973427,0.0 
 01/01  13:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,414999.33853171,0.0 
 01/01  13:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,415296.83327268718,0.0 
 01/01  14:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,415884.8785856542,0.0 
 01/01  14:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,413969.3948757224,0.0 
 01/01  14:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,412436.3872083635,0.0 
 01/01  14:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,413571.7181968017,0.0 
 01/01  15:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,415880.4495591999,0.0 
 01/01  15:15:00,588665.4580924739,281779.4080924739,306886.05,0.0,429938.91269033288,0.0 
 01/01  15:30:00,588665.4580924739,281779.4080924739,306886.05,0.0,438646.05342519158,0.0 
 01/01  15:45:00,588665.4580924739,281779.4080924739,306886.05,0.0,446812.5898823491,0.0 
 01/01  16:00:00,588665.4580924739,281779.4080924739,306886.05,0.0,455010.8244746461,0.0 
 01/01  16:15:00,588665.4580924739,281779.4080924739,306886.05,0.0,462289.9076532239,0.0 
 01/01  16:30:00,588665.4580924739,281779.4080924739,306886.05,0.0,469486.47639983127,0.0 
 01/01  16:45:00,588665.4580924739,281779.4080924739,306886.05,0.0,476579.87049461566,0.0 
 01/01  17:00:00,588665.4580924739,281779.4080924739,306886.05,0.0,483568.03445886206,0.0 
 01/01  17:15:00,640656.7795104929,333770.729510493,306886.05,0.0,445385.06652855817,0.0 
 01/01  17:30:00,640656.7795104929,333770.729510493,306886.05,0.0,448976.79405846979,0.0 
 01/01  17:45:00,640656.7795104929,333770.729510493,306886.05,0.0,452585.02525304877,0.0 
 01/01  18:00:00,640656.7795104929,333770.729510493,306886.05,0.0,456052.97222421367,0.0 
 01/01  18:15:00,712289.250928512,385762.050928512,326527.2,0.0,409659.4052132624,0.0 
 01/01  18:30:00,712289.250928512,385762.050928512,326527.2,0.0,412274.7274280789,0.0 
 01/01  18:45:00,712289.250928512,385762.050928512,326527.2,0.0,415017.9441681979,0.0 
 01/01  19:00:00,712289.250928512,385762.050928512,326527.2,0.0,417734.18623797697,0.0 
