Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  00:15:00,281779.4080924739,281779.4080924739,0.0,0.0,795046.7523523851,0.0 
 01/01  00:30:00,281779.4080924739,281779.4080924739,0.0,0.0,772417.4435030494,0.0 
 01/01  00:45:00,281779.4080924739,281779.4080924739,0.0,0.0,749328.9445219557,0.0 
 01/01  01:00:00,281779.4080924739,281779.4080924739,0.0,0.0,726363.7012803531,0.0 
 01/01  01:15:00,281779.4080924739,281779.4080924739,0.0,0.0,721643.4223324546,0.0 
 01/01  01:30:00,281779.4080924739,281779.4080924739,0.0,0.0,716715.3180295716,0.0 
 01/01  01:45:00,281779.4080924739,281779.4080924739,0.0,0.0,711565.5243940238,0.0 
 01/01  02:00:00,281779.4080924739,281779.4080924739,0.0,0.0,706134.2439545388,0.0 
 01/01  02:15:00,281779.4080924739,281779.4080924739,0.0,0.0,713524.2635249246,0.0 
 01/01  02:30:00,281779.4080924739,281779.4080924739,0.0,0.0,720897.2698518101,0.0 
 01/01  02:45:00,281779.4080924739,281779.4080924739,0.0,0.0,728105.5740508067,0.0 
 01/01  03:00:00,281779.4080924739,281779.4080924739,0.0,0.0,735115.5505123672,0.0 
 01/01  03:15:00,281779.4080924739,281779.4080924739,0.0,0.0,739597.5082046206,0.0 
 01/01  03:30:00,281779.4080924739,281779.4080924739,0.0,0.0,743754.2390125825,0.0 
 01/01  03:45:00,281779.4080924739,281779.4080924739,0.0,0.0,747679.1801964929,0.0 
 01/01  04:00:00,281779.4080924739,281779.4080924739,0.0,0.0,751443.4068345649,0.0 
 01/01  04:15:00,281779.4080924739,281779.4080924739,0.0,0.0,757033.7591454826,0.0 
 01/01  04:30:00,281779.4080924739,281779.4080924739,0.0,0.0,762643.7075747857,0.0 
 01/01  04:45:00,281779.4080924739,281779.4080924739,0.0,0.0,768290.4347648856,0.0 
 01/01  05:00:00,281779.4080924739,281779.4080924739,0.0,0.0,774002.0949227375,0.0 
 01/01  05:15:00,281779.4080924739,281779.4080924739,0.0,0.0,779180.0065792207,0.0 
 01/01  05:30:00,281779.4080924739,281779.4080924739,0.0,0.0,784420.8093009668,0.0 
 01/01  05:45:00,281779.4080924739,281779.4080924739,0.0,0.0,789713.9236257223,0.0 
 01/01  06:00:00,281779.4080924739,281779.4080924739,0.0,0.0,795040.879629209,0.0 
 01/01  06:15:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,788065.3559486435,0.0 
 01/01  06:30:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,788889.9348116198,0.0 
 01/01  06:45:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,789822.8973953571,0.0 
 01/01  07:00:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,790739.8785157327,0.0 
 01/01  07:15:00,778281.750928512,385762.050928512,392519.7,0.0,537843.9866333362,0.0 
 01/01  07:30:00,778281.750928512,385762.050928512,392519.7,0.0,517958.19301644389,0.0 
 01/01  07:45:00,778281.750928512,385762.050928512,392519.7,0.0,501066.21990625988,0.0 
 01/01  08:00:00,778281.750928512,385762.050928512,392519.7,0.0,484948.12034790447,0.0 
 01/01  08:15:00,882262.674,489742.97399999995,392519.7,0.0,393003.83248522426,0.0 
 01/01  08:30:00,882262.674,489742.97399999995,392519.7,0.0,383911.24152783918,0.0 
 01/01  08:45:00,882262.674,489742.97399999995,392519.7,0.0,375434.6140804236,0.0 
 01/01  09:00:00,882262.674,489742.97399999995,392519.7,0.0,367290.1309170418,0.0 
