Date/Time,Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/06  08:00:00,3060892.477949904,1311474.2779499039,1749418.2,0.0,6051322.934176238,0.0 
 01/06  09:00:00,3174969.5676,1425551.3676,1749418.2,0.0,5783371.712282702,0.0 
 01/06  10:00:00,2916995.9420829599,1311474.2779499039,1605521.6641330557,0.0,5624602.703571522,0.0 
 01/06  11:00:00,2005328.4365583617,1197395.0195587199,807933.4169996413,0.0,5695315.652301632,0.0 
 01/06  12:00:00,1721545.3796527617,1197395.0195587199,524150.36009404159,0.0,5481771.927825198,0.0 
 01/06  13:00:00,1676928.026036028,1197395.0195587199,479533.00647730819,0.0,5218777.369189353,0.0 
 01/06  14:00:00,1853921.8625931638,1197395.0195587199,656526.8430344437,0.0,4916914.188090753,0.0 
 01/06  15:00:00,2186051.672068302,1197395.0195587199,988656.6525095821,0.0,4660651.461743185,0.0 
 01/06  16:00:00,2538037.530411048,1197395.0195587199,1340642.5108523276,0.0,4524952.043932361,0.0 
 01/06  17:00:00,2556353.6195587206,1197395.0195587199,1358958.6,0.0,4374908.424088008,0.0 
 01/06  18:00:00,2613393.2487543125,1254434.648754312,1358958.6,0.0,4090730.512368885,0.0 
 01/06  19:00:00,2757995.677949904,1311474.2779499039,1446521.4,0.0,3866072.359190505,0.0 
 01/06  20:00:00,2875612.498404408,1368511.738404408,1507100.76,0.0,3626796.472946203,0.0 
 01/06  21:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,3384108.972831897,0.0 
 01/06  22:00:00,2932652.1276000004,1425551.3676,1507100.76,0.0,3278790.1269868856,0.0 
 01/06  23:00:00,2516257.978404408,1368511.738404408,1147746.24,0.0,3361876.270836249,0.0 
 01/06  24:00:00,1526226.368754312,1254434.648754312,271791.72,0.0,3774408.33874692,0.0 
 01/07  01:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3935512.5872777525,0.0 
 01/07  02:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,3959099.303297908,0.0 
 01/07  03:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4000593.668251163,0.0 
 01/07  04:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4122733.878314956,0.0 
 01/07  05:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4276284.917317063,0.0 
 01/07  06:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,4367800.30080351,0.0 
 01/07  07:00:00,1284957.8195587199,1197395.0195587199,87562.8,0.0,4382101.733186071,0.0 
 01/07  08:00:00,3060892.477949904,1311474.2779499039,1749418.2,0.0,3564763.839029493,0.0 
 01/07  09:00:00,3174969.5676,1425551.3676,1749418.2,0.0,3454300.1655234929,0.0 
 01/07  10:00:00,2917394.874975069,1311474.2779499039,1605920.5970251649,0.0,3587190.2553692369,0.0 
 01/07  11:00:00,2000992.6429255019,1197395.0195587199,803597.6233667815,0.0,3966045.97469583,0.0 
